"filename", "language", "CSS", "HTML", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\404.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\globals\blog-format.html", "HTML", 0, 91, 0, 0, 0, 5, 96
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\globals\global-side-col\author\arsh-saxena\arsh-saxena.css", "CSS", 60, 0, 0, 0, 0, 1, 61
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\globals\global-side-col\author\arsh-saxena\arsh-saxena.html", "HTML", 0, 35, 0, 0, 0, 2, 37
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\globals\global-side-col\author\pankhuri-saxena\pankhuri-saxena.css", "CSS", 61, 0, 0, 0, 0, 1, 62
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\globals\global-side-col\author\pankhuri-saxena\pankhuri-saxena.html", "HTML", 0, 24, 0, 0, 0, 2, 26
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\globals\global-side-col\global-side-col.css", "CSS", 73, 0, 0, 0, 1, 2, 76
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\globals\global-side-col\global-side-col.html", "HTML", 0, 50, 0, 0, 0, 2, 52
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\globals\style.css", "CSS", 179, 0, 0, 0, 1, 1, 181
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\article\obligations-in-student-life\index.html", "HTML", 0, 96, 0, 0, 0, 5, 101
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\android\index.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\android\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\howto\index.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\howto\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\ios\index.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\ios\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\macos\index.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\macos\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\news\index.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\news\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\windows\index.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\category\windows\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\index.html", "HTML", 0, 117, 0, 0, 0, 5, 122
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\other\first-page\style.css", "CSS", 208, 0, 0, 0, 1, 2, 211
